Identifier,Name,State,Country
1,Edaran Otomobil Nasional Berhad ,MY-10,MYS
2,Excel Airconditioning and Engineering Sdn Bhd ,MY-10,MYS
3,Kaminsky Sdn Bhd ,MY-13,MYS
4,Minsec Engineering Services Sdn Bhd ,MY-10,MYS
5,Chop Foo Ho Tong ,MY-02,MYS
6,Mau Seng Timber Sdn Bhd ,MY-12,MYS
7,San Kong Cheong Brothers Trading ,MY-02,MYS
8,Wong Kam Yit T/A Wong Kam Yit ,MY-09,MYS
9,Perniagaan Booy ,MY-09,MYS
10,Torita Rubber Works Sdn Bhd ,MY-10,MYS
11,Jerantut Advertising & Awning Works ,MY-06,MYS
12,Megaflexo Print Sdn Bhd ,MY-10,MYS
13,Klinik Dr Sim ,MY-13,MYS
14,Syarikat Hawaii Diesel Service ,MY-12,MYS
15,Abdul Rahim Enterprise Sdn Bhd ,MY-13,MYS
16,ADJ Enterprise Sdn Bhd ,MY-13,MYS
17,Ah Moi Trading ,MY-06,MYS
18,MSR Marketing Sdn Bhd ,MY-10,MYS
19,Mutual Support Sdn Bhd ,MY-10,MYS
20,Express Furnishing Marketing Centre ,MY-10,MYS
21,PKE (Malaysia) Sdn Bhd ,MY-10,MYS
22,Holy Light Church (English) ,MY-01,MYS
23,Unique Wood Sdn Bhd ,MY-13,MYS
24,Nusantara Technologies Sdn Bhd ,MY-10,MYS
25,FFM Farms Sdn Bhd (Gurun) ,MY-10,MYS
26,Solid Gold Audio Equipment Centre ,MY-10,MYS
27,Oilmate Trading Sdn Bhd ,MY-10,MYS
28,Bintulu Edible Oils Sdn Bhd ,MY-13,MYS
29,Blue Power Office System Sdn Bhd ,MY-10,MYS
30,Blue Power Sdn Bhd ,MY-10,MYS
31,Multi-Trans Sdn Bhd ,MY-10,MYS
32,Bright Wood Sdn Bhd ,MY-13,MYS
33,Bukit Rotan Palm Oil Sdn Bhd ,MY-10,MYS
34,Ban Soon Engineering & Motor Workshop Sdn Bhd ,MY-01,MYS
35,Lim Sey Wee & Kwan ,MY-01,MYS
36,Persatuan Kwangsi Jerantut ,MY-06,MYS
37,Pertiwi Shipping Sdn Bhd ,MY-02,MYS
38,Chop Hoe Guan ,MY-10,MYS
39,Pontian Nam Soon Fertilizers Sdn Bhd ,MY-01,MYS
40,Chu Bee Sdn Bhd ,MY-01,MYS
41,Polymix Plastic Industries Sdn Bhd ,MY-10,MYS
42,Colours Mixture Specialist Sdn Bhd ,MY-10,MYS
43,Corida Sdn Bhd ,MY-10,MYS
44,Pristine Marketing Sdn Bhd ,MY-01,MYS
45,Prosper Palm Oil Mill Sdn Bhd ,MY-10,MYS
46,Pusat Servis Kereta Bolton ,MY-10,MYS
47,Quantity Plus Sdn Bhd ,MY-13,MYS
48,Radiant Court Management Corporation ,MY-12,MYS
49,Dmect Audio Trading ,MY-10,MYS
50,Rekat (M) Sdn Bhd ,MY-10,MYS
51,Restoran Zhong Yuan ,MY-06,MYS
52,Roll Mech Enterprise Sdn Bhd ,MY-10,MYS
53,Royal Park Hotel ,MY-13,MYS
54,Endau Palm Oil Mill Sdn Bhd ,MY-10,MYS
55,Saanen Sdn Bhd ,MY-12,MYS
56,Excel Key Enterprise ,MY-10,MYS
57,Sandakan Edible Oils Sdn Bhd ,MY-12,MYS
58,Express Electroplating Works ,MY-10,MYS
59,Far East Trading & Iron Works ,MY-10,MYS
60,Saremas Sdn Bhd ,MY-13,MYS
61,FFM Feedmills (Sabah) Sdn Bhd ,MY-12,MYS
62,FFM Feedmills (Sarawak) Sdn Bhd ,MY-13,MYS
63,Fotodata Sdn Bhd ,MY-10,MYS
64,Fred's Framing House ,MY-13,MYS
65,Shelter Christian Fellowship For Aid & Welfare Selangor ,MY-10,MYS
66,Gan Yong Hwee T/A Ban Loong Electronic Trading Co. ,MY-01,MYS
67,GC Lighting Sdn Bhd ,MY-10,MYS
68,Sin Soon Onn Frozen Food Sdn Bhd ,MY-10,MYS
69,Sing Kwang Manufacturing Sdn Bhd ,MY-10,MYS
70,Good As Gold Sdn Bhd ,MY-10,MYS
71,Sohadu Marketing Sdn Bhd ,MY-01,MYS
72,Gt Plywood Industries Sdn Bhd ,MY-13,MYS
73,Guanly Electrical Trading ,MY-02,MYS
74,Gunung Ramai Sdn Bhd ,MY-12,MYS
75,Soon Khing Timber & Trading Sdn Bhd ,MY-13,MYS
76,Soon Poh Marketing ,MY-10,MYS
77,Soonlek Hardware & Machinery Sdn Bhd ,MY-10,MYS
78,Hamac Food Industries Sdn Bhd ,MY-10,MYS
79,Hamildon Sdn Bhd ,MY-10,MYS
80,Southern Keratong Plantations Sdn Bhd ,MY-10,MYS
81,Southern Products Marketing Sdn Bhd ,MY-10,MYS
82,SPC Industries Sdn Bhd ,MY-01,MYS
83,Hayamim Ava Sdn Bhd ,MY-10,MYS
84,HBB Auto Parts Sdn Bhd ,MY-10,MYS
85,Sri Kamusan Sdn Bhd ,MY-12,MYS
86,Sri Nona Food Industries Sdn Bhd ,MY-10,MYS
