Identifier,Name
40374,SIGNET GROUP
44473,EMI GROUP
59585,SVF HOLDCO UK LTD COMMON STOCK
216238,AVIVA PLC COMMON STOCK GBP 25
236913,REUTERS GROUP
263494,BAE SYSTEMS PLC COMMON STOCK G
408284,STANDARD CHARTERED PLC COMMON
459497,IMPERIAL CHEM INDS
522708,LOGICA LTD
540528,HSBC HOLDINGS PLC COMMON STOCK
719210,VODAFONE GROUP PLC
754783,ROYAL BK SCOT GRP
790873,SSE PLC COMMON STOCK GBP 50
802165,SAGE GROUP PLC/THE
870612,LLOYDS BANKING GROUP PLC COMMO
945736,DAILY MAIL & GENERAL TRUST PLC
2002479,AES CORP/THE COMMON STOCK USD
2013200,ALCAN INC
2017213,ALLERGAN INC/UNITED STATES
2021690,ALTERA CORP
2021805,ALCOA INC
2024677,BARRICK GOLD CORP COMMON STOCK
2027342,AMERICAN INTERNATIONAL GROUP I
2029809,TRANE INC
2034524,AFFILIATED COMPUTER SERVICES I
2046552,APPLIED MATERIALS INC COMMON S
2072085,BAKER HUGHES A GE CO LLC COMMO
2085102,BAXTER INTERNATIONAL INC COMMO
2090571,VERIZON COMMUNICATIONS INC COM
2101967,SLM CORP COMMON STOCK USD 0.2
2162845,CAMPBELL SOUP CO COMMON STOCK
2171573,CANADIAN NATURAL RESOURCES LTD
2190385,JPMORGAN CHASE & CO COMMON STO
2192392,CHEESECAKE FACTORY INC/THE COM
2198163,CISCO SYSTEMS INC/DELAWARE COM
2206657,COCA-COLA CO/THE COMMON STOCK
2224701,CORNING INC COMMON STOCK USD 0
2250870,DANAHER CORP COMMON STOCK USD
2253608,AMERICAN TOWER CORP
2259101,TARGET CORP COMMON STOCK USD 0
2261526,DELL INC
2270726,WALT DISNEY CO/THE COMMON STOC
2272476,DOLLAR TREE INC COMMON STOCK U
2278719,DOW CHEMICAL CO/THE COMMON STO
2283401,XL GROUP PLC
2316341,EMERGING MARKETS GROWTH FUND I
2326618,EXXON MOBIL CORP COMMON STOCK
2341860,WACHOVIA CORP
2346508,FOREST LABORATORIES INC
2353058,FLEX LTD COMMON STOCK USD 0
